SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
MLS Listing,Single Family Residential,126 2nd Ave S,South Saint Paul,MN,55075,299900,3,2,South Saint Paul,1494,5009,1916,5,201,,https://www.redfin.com/MN/South-St-Paul/126-2nd-Ave-S-55075/home/49902584,NORTHSTARMLS,6162287,44.8897786,-93.0363203
MLS Listing,Single Family Residential,19672 Hibbing Way,Lakeville,MN,55044,760000,4,3,Lakeville,3496,12850,2017,5,217,,https://www.redfin.com/MN/Lakeville/19672-Hibbing-Way-55044/home/113769890,NORTHSTARMLS,6162327,44.6654285,-93.2331851
MLS Listing,Single Family Residential,18167 Green Gables Trl,Lakeville,MN,55044,559977,4,3,Lakeville,2744,8712,2019,6,204,64,https://www.redfin.com/MN/Lakeville/18167-Green-Gables-Trl-55044/home/113769243,NORTHSTARMLS,6162301,44.6860951,-93.226137
MLS Listing,Single Family Residential,14300 Alder Way,Rosemount,MN,55068,611576,5,4,Emerald Isle,3483,12632,2022,6,176,,https://www.redfin.com/MN/Rosemount/14300-Alder-WAY-55068/home/178605225,NORTHSTARMLS,6162298,44.743566,-93.07728685
MLS Listing,Single Family Residential,702 Greten Ln,Hastings,MN,55033,439900,5,3,Hastings,2722,10018,2002,6,162,9,https://www.redfin.com/MN/Hastings/702-Greten-Ln-55033/home/50771284,NORTHSTARMLS,6155375,44.7129291,-92.8609445
MLS Listing,Single Family Residential,14301 Alder Way,Rosemount,MN,55068,626247,5,4,Emerald Isle,3317,12632,2022,6,189,,https://www.redfin.com/MN/Rosemount/14301-Alder-WAY-55068/home/178562951,NORTHSTARMLS,6162272,44.74336787,-93.07812369
MLS Listing,Single Family Residential,14360 Aspen Ave,Rosemount,MN,55068,606572,5,4,Emerald Isle,3317,9147,2022,6,183,,https://www.redfin.com/MN/Rosemount/14360-Aspen-Ave-55068/home/178562728,NORTHSTARMLS,6157671,44.74222481,-93.07932532
MLS Listing,Single Family Residential,18048 Gleaming Ct,Lakeville,MN,55044,570000,4,3,Lakeville,2283,8712,2018,6,250,58,https://www.redfin.com/MN/Lakeville/18048-Gleaming-Ct-55044/home/113769367,NORTHSTARMLS,6162257,44.6883192,-93.2193646
MLS Listing,Townhouse,18602 Jonesboro Ct,Lakeville,MN,55044,374900,3,3,Lakeville,2009,1916,2020,6,187,245,https://www.redfin.com/MN/Lakeville/18602-Jonesboro-Ct-55044/home/50671823,NORTHSTARMLS,6160801,44.680048,-93.2785419
MLS Listing,Single Family Residential,18129 Icon Ct,Lakeville,MN,55044,724900,5,4,Lakeville,3867,9104,2018,6,187,,https://www.redfin.com/MN/Lakeville/18129-Icon-Ct-55044/home/108265822,NORTHSTARMLS,6158370,44.6869475,-93.2497592
MLS Listing,Single Family Residential,1065 Keefe St,Eagan,MN,55121,349900,4,2,Eagan,1490,10105,1957,6,235,,https://www.redfin.com/MN/Eagan/1065-Keefe-St-55121/home/50712918,NORTHSTARMLS,6157048,44.8516601,-93.1450487
MLS Listing,Single Family Residential,17989 Fullerton Ct,Lakeville,MN,55044,614900,5,4,Lakeville,3982,15681,2004,6,154,,https://www.redfin.com/MN/Lakeville/17989-Fullerton-Ct-55044/home/50177515,NORTHSTARMLS,6162041,44.688683,-93.197922
MLS Listing,Single Family Residential,825 9th Ave S,South Saint Paul,MN,55075,195000,2,1,South Saint Paul,890,5009,1945,6,219,,https://www.redfin.com/MN/South-St-Paul/825-9th-Ave-S-55075/home/50757422,NORTHSTARMLS,6162020,44.8772953,-93.0447295
MLS Listing,Single Family Residential,12138 Gantry Ln,Apple Valley,MN,55124,500000,4,4,Apple Valley,3473,20473,1990,6,144,,https://www.redfin.com/MN/Apple-Valley/12138-Gantry-Ln-55124/home/50680784,NORTHSTARMLS,6158008,44.7726588,-93.210827
MLS Listing,Single Family Residential,1793 86th Ct E,Inver Grove Heights,MN,55077,1495000,5,5,Inver Grove Heights,5358,63162,2013,6,279,,https://www.redfin.com/MN/Inver-Grove-Heights/1793-86th-Ct-E-55077/home/50671391,NORTHSTARMLS,6161199,44.825521,-93.0693006
MLS Listing,Townhouse,15880 Griffon Path,Apple Valley,MN,55124,240000,2,3,Apple Valley,1570,7274,1990,6,153,244,https://www.redfin.com/MN/Apple-Valley/15880-Griffon-Path-55124/home/50686086,NORTHSTARMLS,6161838,44.718493,-93.223635
MLS Listing,Townhouse,15510 Float Ln #140,Apple Valley,MN,55124,245000,3,1,Apple Valley,1228,,2001,6,200,215,https://www.redfin.com/MN/Apple-Valley/15510-Float-Ln-55124/unit-140/home/50768362,NORTHSTARMLS,6161892,44.7245286,-93.1989235
MLS Listing,Single Family Residential,14261 Aspen Ave,Rosemount,MN,55068,661400,5,4,Rosemount,3296,9147,2022,6,201,,https://www.redfin.com/MN/Rosemount/14261-Aspen-Ave-55068/home/178544497,NORTHSTARMLS,6161762,44.74328895,-93.0796051
MLS Listing,Single Family Residential,1361 143rd St,Rosemount,MN,55068,551900,3,3,Rosemount,2016,9147,2022,6,274,,https://www.redfin.com/MN/Rosemount/1361-143rd-St-E-55068/home/178544494,NORTHSTARMLS,6161769,44.7439329,-93.0756567
MLS Listing,Single Family Residential,3428 70th Ct E,Inver Grove Heights,MN,55076,290000,3,1,Inver Grove Heights,1323,12066,1961,7,219,,https://www.redfin.com/MN/Inver-Grove-Heights/3428-70th-Ct-E-55076/home/50734544,NORTHSTARMLS,6161148,44.8473282,-93.0363594
